City,SaleDate,Price,PricePerSqFt,Acres,Yr,Area,TBr,Bathrooms
DES MOINES,01/08/1996,50000,41.36,0.253,1954,1209,3,2
DES MOINES,04/03/1996,79900,66.09,0.253,1954,1209,3,2
DES MOINES,11/03/1998,59500,53.89,0.177,1955,1104,2,1
DES MOINES,03/03/2014,86500,78.35,0.177,1955,1104,3,1
DES MOINES,01/24/2012,89900,81.43,0.177,1955,1104,3,1
DES MOINES,08/31/1989,45000,43.27,0.17,1955,1040,3,2
DES MOINES,07/31/2002,96500,92.79,0.17,1955,1040,3,2
DES MOINES,09/18/2001,82000,61.56,0.17,1955,1332,3,1
DES MOINES,05/06/2011,72500,53.51,0.227,1940,1355,3,2
DES MOINES,11/30/1992,51250,57.91,0.17,1940,885,2,2
DES MOINES,09/13/1991,44480,50.26,0.17,1940,885,2,2
DES MOINES,06/14/1989,41000,46.33,0.17,1940,885,2,1
DES MOINES,11/05/2008,55000,61.66,0.17,1940,892,2,2
DES MOINES,09/11/2001,84900,95.93,0.17,1940,885,2,2
DES MOINES,11/01/2009,102000,114.35,0.17,1940,892,2,2
DES MOINES,08/19/1992,35000,49.72,0.17,1950,704,2,1
DES MOINES,04/19/1997,49500,70.31,0.17,1950,704,2,1
DES MOINES,12/22/1989,33500,47.59,0.17,1950,704,2,1
DES MOINES,04/12/2001,97950,72.56,0.232,1960,1350,4,2
DES MOINES,12/19/2002,118000,87.41,0.232,1960,1350,4,2
DES MOINES,06/19/2001,123500,93.07,0.273,1960,1327,3,2
DES MOINES,10/27/2010,20000,16.03,0.199,1900,1248,3,1
DES MOINES,06/02/2004,91000,101.11,0.19,1972,900,3,1
DES MOINES,09/01/2007,130000,84.53,0.191,1982,1538,3,3
DES MOINES,09/10/2014,130000,114.04,0.196,1955,1140,3,2
DES MOINES,04/28/1997,79000,69.3,0.196,1955,1140,3,2
DES MOINES,03/18/1994,66500,58.33,0.196,1955,1140,3,2
DES MOINES,04/19/1994,63000,63.77,0.173,1979,988,3,2
DES MOINES,02/13/1989,56500,57.19,0.173,1979,988,3,2
DES MOINES,04/24/1997,73000,73.89,0.173,1979,988,3,2
DES MOINES,10/01/2012,42500,30.98,0.17,1910,1372,3,2
DES MOINES,04/30/1987,39900,29.08,0.17,1910,1372,3,2
DES MOINES,02/21/1989,45000,32.8,0.17,1910,1372,3,2
DES MOINES,12/05/2006,95380,69.52,0.17,1910,1372,3,2
DES MOINES,05/22/2013,42750,52.07,0.145,1880,821,3,1
DES MOINES,06/25/1996,53900,65.65,0.145,1880,821,3,1
DES MOINES,06/25/1996,56900,69.31,0.145,1880,821,3,1
DES MOINES,06/18/1996,40000,48.72,0.145,1880,821,3,1
DES MOINES,11/15/2000,56900,69.31,0.145,1880,821,3,1
DES MOINES,11/09/2000,53900,65.65,0.145,1880,821,3,1
DES MOINES,11/16/1995,67000,43.79,0.197,1920,1530,4,1
